随机波动 114： 世界如此疯狂，我们何必正常
   会议讨论了文学、创作、女性主义作家的主题，包括阅读赫塔米勒的《呼吸秋千》和思考暴力等话题，探讨了东欧历史和文化，
中国对社会主义现实主义文学的定义存在问题，还探讨了金艾兰和萨利鲁尼的作品以及他们对读者的影响，以及女性在文化大革命期间的经历和女性主义问题。
会议旨在平衡奉献和追求个人成长，使生活更美好。
00:00:11	女性主义作家会议：细读政治线索，聊作家作品
01:12:00-->01:12:03	托尼莫里森的宠儿哦它其实宠儿是一本
01:12:04-->01:12:08	政治真的非常正确的说一个黑人女作家然后来写这个
01:12:08-->01:12:12	黑人的努力的这个历史就正确的不能再正确了所以
01:12:12-->01:12:23	这本书基本上在历史上嵌的那个位置就是它绕不过去它就永远霸占着那个位置就下不来嗯但是其实你要把它放在那个时代里说你比如说那个时候还有什么像
01:12:23-->01:12:28	爱丽丝沃克写的紫紫颜色就是有其他的黑人女作家写的别的书
01:12:28-->01:12:32	为什么他那个书嵌在了那个位置而别的书似乎
01:12:38-->01:12:42	就是它的它的里面的结构形式确实非常的
01:12:55-->01:13:02	也确实可以回到政治这个话题就是女性的小说的政治性不仅体现在她可以写
01:13:04-->01:13:11	残酷的历史嗯他也可以像林意涵这样写发生在身体上的政治嗯然后刚才岳然说的这其实是我
01:13:16-->01:13:22	对就是我可以写成赫塔米勒那样或者是托卡尔休克那种很美的诗性的星星一般的语句
01:13:24-->01:13:30	比如像同意这种控诉式的然后我可以有多种多样的方式来写发生在我身上的事情而他们都是正常的
01:13:31-->01:13:35	就是不不不要在我们的这个我们的语境里面刚才你说的就说
01:13:36-->01:13:42	在我们这儿看起来像两极就是有一个思小说有一个个人的身体的然后那边有一个宏大的或者什么
01:13:45-->01:13:49	两级那么远就是它其实是一一个脉络的东西
01:13:54-->01:13:57	是一个共同的一个叙事女性可以在这里也可以在那里
01:14:04-->01:14:11	我们都很正常好吧好吧那我们今天的节目就到这里了就是是一场出乎意料的如此严肃又
01:14:12-->01:14:31	这个好笑的节目确实我觉得这个节目不对的点在于我忽然之间把自己交出了交出去了以后然后走向了高光时刻来的走向了一个好吧谢谢悦然谢谢谢谢你们如果这一期节目听我和芝奇的声音有点奇怪是因为我们两个带着 n 九五对对
01:14:31-->01:14:42	是因为我今天是密接感谢大家和密接录了这样一期节目那也期待岳然下次来随机波动做客我觉得还有很多东西可以聊好的嗯谢谢你们
01:14:42-->01:14:47	谢谢好吧那我们就这样啦下期再见拜拜
01:14:55-->01:15:02	 how come we both become a version of a person we don't even like
01:15:07-->01:15:10	 just want to bring ners down
01:15:13-->01:15:18	 views know here's a cw up down a hot somehow
01:15:22-->01:15:25	 the child every single thing could blow my
01:15:37-->01:15:43	 this is to play hard to work out and balancing sacrifice
01:15:48-->01:15:51	 july satify
01:15:53-->01:15:56	夜白的本黎温泉
01:16:04-->01:16:07	再会不可能的外人
01:16:09-->01:16:25	 so i hope i learn to get over a muscle start try to be somebody
01:16:25-->01:16:28	 so we can live
